;Ticker;Model;Maturity;Mu
0;SAP GY Equity;Merton;1;0.11237364386940851
1;SAP GY Equity;Merton;5;0.11237968373038137
2;SAP GY Equity;Merton;10;0.11243993655548684
3;SAP GY Equity;Necula;1;0.10825068792171831
4;SAP GY Equity;Necula;5;0.10825068793414921
5;SAP GY Equity;Necula;10;0.10825079242493751
6;SAP GY Equity;Rostek;1;0.10825068792171831
7;SAP GY Equity;Rostek;5;0.1082506879343849
8;SAP GY Equity;Rostek;10;0.10825079114536443
9;MRK GY Equity;Merton;1;0.061560009026392776
10;MRK GY Equity;Merton;5;0.0618734013153297
11;MRK GY Equity;Merton;10;0.06277855986944714
12;MRK GY Equity;Necula;1;0.06242564923627241
13;MRK GY Equity;Necula;5;0.0624858070916618
14;MRK GY Equity;Necula;10;0.0632775767599934
15;MRK GY Equity;Rostek;1;0.06242564923674752
16;MRK GY Equity;Rostek;5;0.06248558510982892
17;MRK GY Equity;Rostek;10;0.06328415830041241
18;AI FP Equity;Merton;1;0.07466525287910097
19;AI FP Equity;Merton;5;0.07476685181595209
20;AI FP Equity;Merton;10;0.07519860660550019
21;AI FP Equity;Necula;1;0.06387856444080847
22;AI FP Equity;Necula;5;0.06387856464803063
23;AI FP Equity;Necula;10;0.06387886791554884
24;AI FP Equity;Rostek;1;0.06387856444080849
25;AI FP Equity;Rostek;5;0.06387856460546573
26;AI FP Equity;Rostek;10;0.06387883322271636
27;CRH LN Equity;Merton;1;0.08936684307862733
28;CRH LN Equity;Merton;5;0.09129125209028387
29;CRH LN Equity;Merton;10;0.09480326976033866
30;CRH LN Equity;Necula;1;0.08234705015409957
31;CRH LN Equity;Necula;5;0.08235433506499978
32;CRH LN Equity;Necula;10;0.08249954233667145
33;CRH LN Equity;Rostek;1;0.08234705015415883
34;CRH LN Equity;Rostek;5;0.08235391022412634
35;CRH LN Equity;Rostek;10;0.08249215560807842
36;SRG IM Equity;Merton;1;0.0021199475836722794
37;SRG IM Equity;Merton;5;0.0028825983311602547
38;SRG IM Equity;Merton;10;0.003949430011557218
39;SRG IM Equity;Necula;1;0.0019015562667292238
40;SRG IM Equity;Necula;5;0.001901844715643106
41;SRG IM Equity;Necula;10;0.0019107725125947358
42;SRG IM Equity;Rostek;1;0.0019015562667290898
43;SRG IM Equity;Rostek;5;0.0019015956541441423
44;SRG IM Equity;Rostek;10;0.0019045265560267066
45;DAI GY Equity;Merton;1;-0.001615627240833558
46;DAI GY Equity;Merton;5;-0.000559257732551912
47;DAI GY Equity;Merton;10;0.00037442160601149207
48;DAI GY Equity;Necula;1;-0.0023334675143391994
49;DAI GY Equity;Necula;5;-0.0023992605006508453
50;DAI GY Equity;Necula;10;-0.0025172738223243007
51;DAI GY Equity;Rostek;1;-0.002333473503145067
52;DAI GY Equity;Rostek;5;-0.0024067678866476214
53;DAI GY Equity;Rostek;10;-0.0025410103221084794
54;VIE FP Equity;Merton;1;0.0322420077460995
55;VIE FP Equity;Merton;5;0.034239428433189015
56;VIE FP Equity;Merton;10;0.03720989652438315
57;VIE FP Equity;Necula;1;0.029605159137378302
58;VIE FP Equity;Necula;5;0.029760816914848488
59;VIE FP Equity;Necula;10;0.030599747304832163
60;VIE FP Equity;Rostek;1;0.02960515900036195
61;VIE FP Equity;Rostek;5;0.029758894004988462
62;VIE FP Equity;Rostek;10;0.030586959432953927
63;AMP IM Equity;Merton;1;0.2046732123148673
64;AMP IM Equity;Merton;5;0.20869448293156395
65;AMP IM Equity;Merton;10;0.2149697256755506
66;AMP IM Equity;Necula;1;0.19606595935668483
67;AMP IM Equity;Necula;5;0.19606781216403774
68;AMP IM Equity;Necula;10;0.19610130928814365
69;AMP IM Equity;Rostek;1;0.1960659593559987
70;AMP IM Equity;Rostek;5;0.19606717047196245
71;AMP IM Equity;Rostek;10;0.19609258377282862
72;FR FP Equity;Merton;1;0.06444638815661886
73;FR FP Equity;Merton;5;0.06766318172851804
74;FR FP Equity;Merton;10;0.07203069579245033
75;FR FP Equity;Necula;1;0.07514978214663522
76;FR FP Equity;Necula;5;0.07683910163186336
77;FR FP Equity;Necula;10;0.0824681502196682
78;FR FP Equity;Rostek;1;0.07514976465571596
79;FR FP Equity;Rostek;5;0.07684652422501238
80;FR FP Equity;Rostek;10;0.08251433871821316
81;EO FP Equity;Merton;1;0.11267818948745215
82;EO FP Equity;Merton;5;0.12213421896529078
83;EO FP Equity;Merton;10;0.1350786632197323
84;EO FP Equity;Necula;1;0.11638693238420453
85;EO FP Equity;Necula;5;0.12454456045992034
86;EO FP Equity;Necula;10;0.14131701141834307
87;EO FP Equity;Rostek;1;0.11638509154801446
88;EO FP Equity;Rostek;5;0.12447562989130492
89;EO FP Equity;Rostek;10;0.14123297380915306
90;GET FP Equity;Merton;1;0.0530026487513735
91;GET FP Equity;Merton;5;0.05489840652428164
92;GET FP Equity;Merton;10;0.05813061404417038
93;GET FP Equity;Necula;1;0.052166164687117135
94;GET FP Equity;Necula;5;0.05269607733002288
95;GET FP Equity;Necula;10;0.05522615778424802
96;GET FP Equity;Rostek;1;0.05216616422752969
97;GET FP Equity;Rostek;5;0.05269618955749231
98;GET FP Equity;Rostek;10;0.05524243072177223
99;LHA GY Equity;Merton;1;0.039673897942830355
