;Ticker;Model;Maturity;Sigma
0;SAP GY Equity;Merton;1;0.28673280185977984
1;SAP GY Equity;Merton;5;0.2867823057393177
2;SAP GY Equity;Merton;10;0.2875591958315294
3;SAP GY Equity;Necula;1;0.2917789348815403
4;SAP GY Equity;Necula;5;0.29183468370430415
5;SAP GY Equity;Necula;10;0.2929432958844529
6;SAP GY Equity;Rostek;1;0.2917789348815337
7;SAP GY Equity;Rostek;5;0.2918328309771827
8;SAP GY Equity;Rostek;10;0.29293036821918694
9;MRK GY Equity;Merton;1;0.24822821671497652
10;MRK GY Equity;Merton;5;0.2493917935489019
11;MRK GY Equity;Merton;10;0.25461231921006183
12;MRK GY Equity;Necula;1;0.2649728373804249
13;MRK GY Equity;Necula;5;0.26635825324770057
14;MRK GY Equity;Necula;10;0.27339767687364175
15;MRK GY Equity;Rostek;1;0.26497283399933985
16;MRK GY Equity;Rostek;5;0.26630785116676103
17;MRK GY Equity;Rostek;10;0.27328323109736746
18;AI FP Equity;Merton;1;0.23354959673287143
19;AI FP Equity;Merton;5;0.23384612541670782
20;AI FP Equity;Merton;10;0.23614234307455909
21;AI FP Equity;Necula;1;0.22873106475152008
22;AI FP Equity;Necula;5;0.22887519198928025
23;AI FP Equity;Necula;10;0.2307663503374231
24;AI FP Equity;Rostek;1;0.22873106475112767
25;AI FP Equity;Rostek;5;0.22886960491106534
26;AI FP Equity;Rostek;10;0.2307392967693885
27;CRH LN Equity;Merton;1;0.30316446572935823
28;CRH LN Equity;Merton;5;0.32447760145060206
29;CRH LN Equity;Merton;10;0.3565672273300154
30;CRH LN Equity;Necula;1;0.2892299815442644
31;CRH LN Equity;Necula;5;0.29916231544176053
32;CRH LN Equity;Necula;10;0.3206196253305883
33;CRH LN Equity;Rostek;1;0.2892325744745091
34;CRH LN Equity;Rostek;5;0.29947532965133244
35;CRH LN Equity;Rostek;10;0.32101993015155755
36;SRG IM Equity;Merton;1;0.19335868616397026
37;SRG IM Equity;Merton;5;0.20914290160817384
38;SRG IM Equity;Merton;10;0.23672047210987648
39;SRG IM Equity;Necula;1;0.13469672171206712
40;SRG IM Equity;Necula;5;0.1351421864227272
41;SRG IM Equity;Necula;10;0.13795708888178093
42;SRG IM Equity;Rostek;1;0.13469665404886785
43;SRG IM Equity;Rostek;5;0.1351898481666679
44;SRG IM Equity;Rostek;10;0.1380494994250369
45;DAI GY Equity;Merton;1;0.10753757023103525
46;DAI GY Equity;Merton;5;0.16778935868190065
47;DAI GY Equity;Merton;10;0.26116144384456236
48;DAI GY Equity;Necula;1;0.12454999985206708
49;DAI GY Equity;Necula;5;0.21776574854204997
50;DAI GY Equity;Necula;10;0.35314777753185417
51;DAI GY Equity;Rostek;1;0.12383536796204815
52;DAI GY Equity;Rostek;5;0.2156134088801467
53;DAI GY Equity;Rostek;10;0.35090830136776546
54;VIE FP Equity;Merton;1;0.16104872442905882
55;VIE FP Equity;Merton;5;0.177026004434743
56;VIE FP Equity;Merton;10;0.20510913435665323
57;VIE FP Equity;Necula;1;0.23452995077522146
58;VIE FP Equity;Necula;5;0.2991911687468042
59;VIE FP Equity;Necula;10;0.38235939770110106
60;VIE FP Equity;Rostek;1;0.23395171782256527
61;VIE FP Equity;Rostek;5;0.2962798258449049
