;Ticker;Model;Maturity;DP(%)
0;SAP GY Equity;Merton;1;0.0
1;SAP GY Equity;Merton;5;0.0010824143876653203
2;SAP GY Equity;Merton;10;0.04225720325594651
3;SAP GY Equity;Necula;1;0.0
4;SAP GY Equity;Necula;5;0.0006119417745642508
5;SAP GY Equity;Necula;10;0.016531149377896348
6;SAP GY Equity;Rostek;1;0.0
7;SAP GY Equity;Rostek;5;0.0005365132304535614
8;SAP GY Equity;Rostek;10;0.015502658366883804
9;MRK GY Equity;Merton;1;1.2920775560587572e-10
10;MRK GY Equity;Merton;5;0.0025687264008422694
11;MRK GY Equity;Merton;10;0.013978667107350518
12;MRK GY Equity;Necula;1;4.327316283081473e-09
13;MRK GY Equity;Necula;5;0.0057047065164517186
14;MRK GY Equity;Necula;10;0.021247478355768123
15;MRK GY Equity;Rostek;1;1.2394862913822635e-09
16;MRK GY Equity;Rostek;5;0.0046620912256822855
17;MRK GY Equity;Rostek;10;0.018760596048839062
18;AI FP Equity;Merton;1;1.8096635301390052e-12
19;AI FP Equity;Merton;5;0.00231018571730246
20;AI FP Equity;Merton;10;0.026227177897153453
21;AI FP Equity;Necula;1;7.105427357601002e-13
22;AI FP Equity;Necula;5;0.0009540671267238565
23;AI FP Equity;Necula;10;0.009039277282063551
24;AI FP Equity;Rostek;1;1.9984014443252818e-13
25;AI FP Equity;Rostek;5;0.0008035371002912406
26;AI FP Equity;Rostek;10;0.008238227899426409
27;CRH LN Equity;Merton;1;0.007186987919227672
28;CRH LN Equity;Merton;5;7.160201199109406
29;CRH LN Equity;Merton;10;22.288396581291202
30;CRH LN Equity;Necula;1;0.0009513160379448493
31;CRH LN Equity;Necula;5;1.8570883341280098
32;CRH LN Equity;Necula;10;5.677951425952676
33;CRH LN Equity;Rostek;1;0.0016949747416283856
34;CRH LN Equity;Rostek;5;2.036713508472021
35;CRH LN Equity;Rostek;10;6.040305248791922
36;SRG IM Equity;Merton;1;0.03972610224569628
37;SRG IM Equity;Merton;5;16.632700261025402
38;SRG IM Equity;Merton;10;44.09231990637751
39;SRG IM Equity;Necula;1;3.442831741917729e-06
40;SRG IM Equity;Necula;5;1.628252100100358
41;SRG IM Equity;Necula;10;11.70096589419849
42;SRG IM Equity;Rostek;1;3.175427454316093e-05
43;SRG IM Equity;Rostek;5;1.93997767002404
44;SRG IM Equity;Rostek;10;12.47822103484153
45;DAI GY Equity;Merton;1;0.9563748621446932
46;DAI GY Equity;Merton;5;43.06561126439392
47;DAI GY Equity;Merton;10;75.67060216054197
48;DAI GY Equity;Necula;1;2.4824808485852445
49;DAI GY Equity;Necula;5;52.744608505957814
50;DAI GY Equity;Necula;10;76.50135003749028
51;DAI GY Equity;Rostek;1;1.9050898485442058
52;DAI GY Equity;Rostek;5;50.80760700764101
53;DAI GY Equity;Rostek;10;75.00388316372542
54;VIE FP Equity;Merton;1;1.0879736749555224
55;VIE FP Equity;Merton;5;60.22736552656356
56;VIE FP Equity;Merton;10;91.991852589384
57;VIE FP Equity;Necula;1;7.113985007665091
58;VIE FP Equity;Necula;5;67.90946409528662
59;VIE FP Equity;Necula;10;90.11668014118197
60;VIE FP Equity;Rostek;1;5.0768668243280075
61;VIE FP Equity;Rostek;5;65.17065990574254
62;VIE FP Equity;Rostek;10;88.75384005033753
63;AMP IM Equity;Merton;1;1.4856037511279396e-07
64;AMP IM Equity;Merton;5;0.004519040778616645
65;AMP IM Equity;Merton;10;0.006840729834001191
66;AMP IM Equity;Necula;1;6.886961856356066e-06
67;AMP IM Equity;Necula;5;0.016396518381633918
68;AMP IM Equity;Necula;10;0.01790416818669982
69;AMP IM Equity;Rostek;1;1.7362132842535516e-06
70;AMP IM Equity;Rostek;5;0.012065159882812537
71;AMP IM Equity;Rostek;10;0.014318068606133938
72;FR FP Equity;Merton;1;2.2007376889834784
73;FR FP Equity;Merton;5;68.97743669003509
74;FR FP Equity;Merton;10;94.55354941597477
75;FR FP Equity;Necula;1;15.675549268539745
76;FR FP Equity;Necula;5;73.32876067871972
77;FR FP Equity;Necula;10;88.55520874915695
78;FR FP Equity;Rostek;1;10.200231800260372
79;FR FP Equity;Rostek;5;69.04208668020706
