;Ticker;Model;Maturity;H
0;SAP GY Equity;Merton;1;0.5
1;SAP GY Equity;Merton;5;0.5
2;SAP GY Equity;Merton;10;0.5
3;SAP GY Equity;Necula;1;0.4359565626123441
4;SAP GY Equity;Necula;5;0.4359565626123431
5;SAP GY Equity;Necula;10;0.4359565626203061
6;SAP GY Equity;Rostek;1;0.43595656261234367
7;SAP GY Equity;Rostek;5;0.4359565626123446
8;SAP GY Equity;Rostek;10;0.4359565626224017
9;MRK GY Equity;Merton;1;0.5
10;MRK GY Equity;Merton;5;0.5
11;MRK GY Equity;Merton;10;0.5
12;MRK GY Equity;Necula;1;0.3890202031933964
13;MRK GY Equity;Necula;5;0.3890202031933965
14;MRK GY Equity;Necula;10;0.38902020319323666
15;MRK GY Equity;Rostek;1;0.38902020319339703
16;MRK GY Equity;Rostek;5;0.3890202031933964
17;MRK GY Equity;Rostek;10;0.3890202031930965
18;AI FP Equity;Merton;1;0.5
19;AI FP Equity;Merton;5;0.5
20;AI FP Equity;Merton;10;0.5
21;AI FP Equity;Necula;1;0.44077543306204764
22;AI FP Equity;Necula;5;0.4407754330620425
23;AI FP Equity;Necula;10;0.44077543239911227
24;AI FP Equity;Rostek;1;0.44077543306204836
25;AI FP Equity;Rostek;5;0.44077543306203726
26;AI FP Equity;Rostek;10;0.4407754321326406
27;CRH LN Equity;Merton;1;0.5
28;CRH LN Equity;Merton;5;0.5
29;CRH LN Equity;Merton;10;0.5
30;CRH LN Equity;Necula;1;0.47668393853055707
31;CRH LN Equity;Necula;5;0.47668383229163436
32;CRH LN Equity;Necula;10;0.4766803044888431
33;CRH LN Equity;Rostek;1;0.4766839385305582
34;CRH LN Equity;Rostek;5;0.4766838505455188
35;CRH LN Equity;Rostek;10;0.4766809620684591
36;SRG IM Equity;Merton;1;0.5
37;SRG IM Equity;Merton;5;0.5
38;SRG IM Equity;Merton;10;0.5
39;SRG IM Equity;Necula;1;0.4321448683198943
40;SRG IM Equity;Necula;5;0.43214480532925853
41;SRG IM Equity;Necula;10;0.4321328354159009
42;SRG IM Equity;Rostek;1;0.4321448683198954
43;SRG IM Equity;Rostek;5;0.4321447587572207
44;SRG IM Equity;Rostek;10;0.43213023413556073
45;DAI GY Equity;Merton;1;0.5
46;DAI GY Equity;Merton;5;0.5
47;DAI GY Equity;Merton;10;0.5
48;DAI GY Equity;Necula;1;0.47499803646138
49;DAI GY Equity;Necula;5;0.47493710178936105
50;DAI GY Equity;Necula;10;0.4744377224114504
51;DAI GY Equity;Rostek;1;0.47499803644870114
52;DAI GY Equity;Rostek;5;0.4749286419015156
53;DAI GY Equity;Rostek;10;0.4744044912438848
54;VIE FP Equity;Merton;1;0.5
55;VIE FP Equity;Merton;5;0.5
56;VIE FP Equity;Merton;10;0.5
57;VIE FP Equity;Necula;1;0.4264247407858185
58;VIE FP Equity;Necula;5;0.42642474008138015
59;VIE FP Equity;Necula;10;0.4264248439934808
60;VIE FP Equity;Rostek;1;0.42642474078582204
61;VIE FP Equity;Rostek;5;0.4264247410223442
62;VIE FP Equity;Rostek;10;0.4264250090916333
63;AMP IM Equity;Merton;1;0.5
64;AMP IM Equity;Merton;5;0.5
65;AMP IM Equity;Merton;10;0.5
66;AMP IM Equity;Necula;1;0.49244770195304094
67;AMP IM Equity;Necula;5;0.4924252977715202
68;AMP IM Equity;Necula;10;0.49227378152514395
69;AMP IM Equity;Rostek;1;0.4924477019529375
70;AMP IM Equity;Rostek;5;0.492425606236462
71;AMP IM Equity;Rostek;10;0.4922759872322204
72;FR FP Equity;Merton;1;0.5
73;FR FP Equity;Merton;5;0.5
74;FR FP Equity;Merton;10;0.5
75;FR FP Equity;Necula;1;0.5131788099613488
76;FR FP Equity;Necula;5;0.5130292074067659
77;FR FP Equity;Necula;10;0.5127481450803771
78;FR FP Equity;Rostek;1;0.5131788141839821
79;FR FP Equity;Rostek;5;0.5130339972053191
80;FR FP Equity;Rostek;10;0.5127526240271244
81;EO FP Equity;Merton;1;0.5
82;EO FP Equity;Merton;5;0.5
83;EO FP Equity;Merton;10;0.5
84;EO FP Equity;Necula;1;0.44797165249530213
85;EO FP Equity;Necula;5;0.4479598253975404
86;EO FP Equity;Necula;10;0.44776005692795756
87;EO FP Equity;Rostek;1;0.44797165249514764
88;EO FP Equity;Rostek;5;0.4479557147338653
89;EO FP Equity;Rostek;10;0.44773794740753625
90;GET FP Equity;Merton;1;0.5
91;GET FP Equity;Merton;5;0.5
92;GET FP Equity;Merton;10;0.5
93;GET FP Equity;Necula;1;0.4453069085599071
94;GET FP Equity;Necula;5;0.4453069070532374
95;GET FP Equity;Necula;10;0.445305656737228
96;GET FP Equity;Rostek;1;0.44530690855990746
97;GET FP Equity;Rostek;5;0.4453069065400618
98;GET FP Equity;Rostek;10;0.44530556920812353
99;LHA GY Equity;Merton;1;0.5
100;LHA GY Equity;Merton;5;0.5
101;LHA GY Equity;Merton;10;0.5
102;LHA GY Equity;Necula;1;0.4528804440863997
103;LHA GY Equity;Necula;5;0.4529466665075257
104;LHA GY Equity;Necula;10;0.45338112013860105
105;LHA GY Equity;Rostek;1;0.4528804441701381
106;LHA GY Equity;Rostek;5;0.4529543771427341
107;LHA GY Equity;Rostek;10;0.45338371173470904
108;PIA IM Equity;Merton;1;0.5
109;PIA IM Equity;Merton;5;0.5
110;PIA IM Equity;Merton;10;0.5
111;PIA IM Equity;Necula;1;0.4439005954525242
112;PIA IM Equity;Necula;5;0.4439027008684836
113;PIA IM Equity;Necula;10;0.4439278097642039
114;PIA IM Equity;Rostek;1;0.4439005954528271
115;PIA IM Equity;Rostek;5;0.44390484127103574
116;PIA IM Equity;Rostek;10;0.4439401093603171
117;CO FP Equity;Merton;1;0.5
118;CO FP Equity;Merton;5;0.5
119;CO FP Equity;Merton;10;0.5
120;CO FP Equity;Necula;1;0.5862713770283704
121;CO FP Equity;Necula;5;0.5888030993554967
122;CO FP Equity;Necula;10;0.589673299280028
123;CO FP Equity;Rostek;1;0.5859052623714064
124;CO FP Equity;Rostek;5;0.5885926341782113
125;CO FP Equity;Rostek;10;0.5895504805920995
