;Ticker;Model;Maturity;H
0;SAP GY Equity;Merton;1;0.5
1;SAP GY Equity;Merton;5;0.5
2;SAP GY Equity;Merton;10;0.5
3;SAP GY Equity;Necula;1;0.5102783914496621
4;SAP GY Equity;Necula;5;0.510287248105299
5;SAP GY Equity;Necula;10;0.5104176135888695
6;SAP GY Equity;Rostek;1;0.5102783914496607
7;SAP GY Equity;Rostek;5;0.5102870934734325
8;SAP GY Equity;Rostek;10;0.510417687477182
9;MRK GY Equity;Merton;1;0.5
10;MRK GY Equity;Merton;5;0.5
11;MRK GY Equity;Merton;10;0.5
12;MRK GY Equity;Necula;1;0.5193731011816985
13;MRK GY Equity;Necula;5;0.5191277231998881
14;MRK GY Equity;Necula;10;0.5186008152914305
15;MRK GY Equity;Rostek;1;0.5193731077073556
16;MRK GY Equity;Rostek;5;0.5191380324309033
17;MRK GY Equity;Rostek;10;0.5186146265440327
18;AI FP Equity;Merton;1;0.5
19;AI FP Equity;Merton;5;0.5
20;AI FP Equity;Merton;10;0.5
21;AI FP Equity;Necula;1;0.5142545955053643
22;AI FP Equity;Necula;5;0.5142260226253342
23;AI FP Equity;Necula;10;0.5140545612787139
24;AI FP Equity;Rostek;1;0.5142545955064477
25;AI FP Equity;Rostek;5;0.5142276128177057
26;AI FP Equity;Rostek;10;0.5140603105212366
27;CRH LN Equity;Merton;1;0.5
28;CRH LN Equity;Merton;5;0.5
29;CRH LN Equity;Merton;10;0.5
30;CRH LN Equity;Necula;1;0.4788672289218868
31;CRH LN Equity;Necula;5;0.47681529459195804
32;CRH LN Equity;Necula;10;0.47536610900060844
33;CRH LN Equity;Rostek;1;0.4788557036971087
34;CRH LN Equity;Rostek;5;0.4768110029547525
35;CRH LN Equity;Rostek;10;0.4753792929161862
36;SRG IM Equity;Merton;1;0.5
37;SRG IM Equity;Merton;5;0.5
38;SRG IM Equity;Merton;10;0.5
39;SRG IM Equity;Necula;1;0.4425282416823514
40;SRG IM Equity;Necula;5;0.4419795554802825
41;SRG IM Equity;Necula;10;0.4408163979782367
42;SRG IM Equity;Rostek;1;0.4425279689753074
43;SRG IM Equity;Rostek;5;0.44192889289956266
44;SRG IM Equity;Rostek;10;0.44075085960124133
45;DAI GY Equity;Merton;1;0.5
46;DAI GY Equity;Merton;5;0.5
47;DAI GY Equity;Merton;10;0.5
48;DAI GY Equity;Necula;1;0.531755777051582
49;DAI GY Equity;Necula;5;0.5243091992956328
50;DAI GY Equity;Necula;10;0.5218220593636566
51;DAI GY Equity;Rostek;1;0.5321042503439231
52;DAI GY Equity;Rostek;5;0.5244019366251044
53;DAI GY Equity;Rostek;10;0.5218541742283701
54;VIE FP Equity;Merton;1;0.5
55;VIE FP Equity;Merton;5;0.5
56;VIE FP Equity;Merton;10;0.5
57;VIE FP Equity;Necula;1;0.5610484614471031
58;VIE FP Equity;Necula;5;0.5561175129231212
59;VIE FP Equity;Necula;10;0.5543070977748494
60;VIE FP Equity;Rostek;1;0.5613803850010518
61;VIE FP Equity;Rostek;5;0.5565015363123077
62;VIE FP Equity;Rostek;10;0.5545472167930681
63;AMP IM Equity;Merton;1;0.5
64;AMP IM Equity;Merton;5;0.5
65;AMP IM Equity;Merton;10;0.5
66;AMP IM Equity;Necula;1;0.5302946530288488
67;AMP IM Equity;Necula;5;0.5288810208551052
68;AMP IM Equity;Necula;10;0.5276671034159084
69;AMP IM Equity;Rostek;1;0.530298210843484
70;AMP IM Equity;Rostek;5;0.5289492627693919
71;AMP IM Equity;Rostek;10;0.5277262871515984
72;FR FP Equity;Merton;1;0.5
73;FR FP Equity;Merton;5;0.5
74;FR FP Equity;Merton;10;0.5
75;FR FP Equity;Necula;1;0.5827624785260943
76;FR FP Equity;Necula;5;0.5771292587673863
77;FR FP Equity;Necula;10;0.5757482073516704
78;FR FP Equity;Rostek;1;0.5834558628293736
79;FR FP Equity;Rostek;5;0.5773049685418092
80;FR FP Equity;Rostek;10;0.5758055501775196
81;EO FP Equity;Merton;1;0.5
82;EO FP Equity;Merton;5;0.5
83;EO FP Equity;Merton;10;0.5
84;EO FP Equity;Necula;1;0.49820067993247036
85;EO FP Equity;Necula;5;0.4946955421153535
86;EO FP Equity;Necula;10;0.49307960674949913
87;EO FP Equity;Rostek;1;0.49819498173746424
88;EO FP Equity;Rostek;5;0.4946865020310375
89;EO FP Equity;Rostek;10;0.49307306731436595
90;GET FP Equity;Merton;1;0.5
91;GET FP Equity;Merton;5;0.5
92;GET FP Equity;Merton;10;0.5
93;GET FP Equity;Necula;1;0.5685631065021739
94;GET FP Equity;Necula;5;0.5611290538635895
95;GET FP Equity;Necula;10;0.5582800894393626
96;GET FP Equity;Rostek;1;0.5689152793376538
97;GET FP Equity;Rostek;5;0.5613886467586641
98;GET FP Equity;Rostek;10;0.5584117682918541
99;LHA GY Equity;Merton;1;0.5
100;LHA GY Equity;Merton;5;0.5
101;LHA GY Equity;Merton;10;0.5
102;LHA GY Equity;Necula;1;0.5501140086073072
103;LHA GY Equity;Necula;5;0.5414125560919473
104;LHA GY Equity;Necula;10;0.5391067931688923
105;LHA GY Equity;Rostek;1;0.5508498561879702
106;LHA GY Equity;Rostek;5;0.5416873482447274
107;LHA GY Equity;Rostek;10;0.5392268095957008
108;PIA IM Equity;Merton;1;0.5
109;PIA IM Equity;Merton;5;0.5
110;PIA IM Equity;Merton;10;0.5
111;PIA IM Equity;Necula;1;0.5147813681185227
112;PIA IM Equity;Necula;5;0.5165017063586438
113;PIA IM Equity;Necula;10;0.517679474493682
114;PIA IM Equity;Rostek;1;0.5147834158295783
115;PIA IM Equity;Rostek;5;0.5164856849470884
116;PIA IM Equity;Rostek;10;0.5176692522187115
117;CO FP Equity;Merton;1;0.5
118;CO FP Equity;Merton;5;0.5
119;CO FP Equity;Merton;10;0.5
120;CO FP Equity;Necula;1;0.5239609438435661
121;CO FP Equity;Necula;5;0.5200045683161106
122;CO FP Equity;Necula;10;0.518019671237137
123;CO FP Equity;Rostek;1;0.5240596515786631
124;CO FP Equity;Rostek;5;0.5200959679928593
125;CO FP Equity;Rostek;10;0.518081697176674
