;Ticker;Model;Maturity;Mu
0;SAP GY Equity;Merton;1;0.11504963266210527
1;SAP GY Equity;Merton;5;0.11504963448512447
2;SAP GY Equity;Merton;10;0.11505167215848755
3;SAP GY Equity;Necula;1;0.10916969072291809
4;SAP GY Equity;Necula;5;0.10916969072291804
5;SAP GY Equity;Necula;10;0.10916969073039075
6;SAP GY Equity;Rostek;1;0.10916969072291784
7;SAP GY Equity;Rostek;5;0.1091696907229179
8;SAP GY Equity;Rostek;10;0.10916969072959333
9;MRK GY Equity;Merton;1;-0.0433126418442887
10;MRK GY Equity;Merton;5;-0.04331175783552153
11;MRK GY Equity;Merton;10;-0.04328306142266736
12;MRK GY Equity;Necula;1;-0.04953694940112911
13;MRK GY Equity;Necula;5;-0.049536949401129106
14;MRK GY Equity;Necula;10;-0.04953694940112435
15;MRK GY Equity;Rostek;1;-0.04953694940112909
16;MRK GY Equity;Rostek;5;-0.049536949401129085
17;MRK GY Equity;Rostek;10;-0.04953694940112739
18;AI FP Equity;Merton;1;0.07230998613297146
19;AI FP Equity;Merton;5;0.0723100141667816
20;AI FP Equity;Merton;10;0.07231916997306138
21;AI FP Equity;Necula;1;0.06939006019848175
22;AI FP Equity;Necula;5;0.06939006019848441
23;AI FP Equity;Necula;10;0.06939006120216643
24;AI FP Equity;Rostek;1;0.06939006019848176
25;AI FP Equity;Rostek;5;0.06939006019848369
26;AI FP Equity;Rostek;10;0.06939006097027417
27;CRH LN Equity;Merton;1;-0.05711148309080709
28;CRH LN Equity;Merton;5;-0.057102656775724805
29;CRH LN Equity;Merton;10;-0.057075952504470964
30;CRH LN Equity;Necula;1;-0.058768652675228655
31;CRH LN Equity;Necula;5;-0.05876885228588243
32;CRH LN Equity;Necula;10;-0.05879556231731402
33;CRH LN Equity;Rostek;1;-0.058768652675228364
34;CRH LN Equity;Rostek;5;-0.05876897319491554
35;CRH LN Equity;Rostek;10;-0.0588029225994342
36;SRG IM Equity;Merton;1;-0.07275231220209345
37;SRG IM Equity;Merton;5;-0.07275515657650873
38;SRG IM Equity;Merton;10;-0.07320596288015788
39;SRG IM Equity;Necula;1;-0.07469642347607082
40;SRG IM Equity;Necula;5;-0.0746964353763113
41;SRG IM Equity;Necula;10;-0.07470166957334158
42;SRG IM Equity;Rostek;1;-0.0746964234760708
