;Ticker;Model;Maturity;Mu
0;SAP GY Equity;Merton;1;0.14426787137029914
1;SAP GY Equity;Merton;5;0.1443061963719303
2;SAP GY Equity;Merton;10;0.1448946492560563
3;SAP GY Equity;Necula;1;0.14531812967278393
4;SAP GY Equity;Necula;5;0.14533995727658472
5;SAP GY Equity;Necula;10;0.14585924666779132
6;SAP GY Equity;Rostek;1;0.1453181296727824
7;SAP GY Equity;Rostek;5;0.14533997219350986
8;SAP GY Equity;Rostek;10;0.14586893614997354
9;MRK GY Equity;Merton;1;0.1913329599283235
10;MRK GY Equity;Merton;5;0.19233620060388815
11;MRK GY Equity;Merton;10;0.19692020891171286
12;MRK GY Equity;Necula;1;0.1949919631029856
13;MRK GY Equity;Necula;5;0.19584817916719957
14;MRK GY Equity;Necula;10;0.20097224623583326
15;MRK GY Equity;Rostek;1;0.19499196221844783
16;MRK GY Equity;Rostek;5;0.19586756146322987
17;MRK GY Equity;Rostek;10;0.20111265925416888
18;AI FP Equity;Merton;1;0.14473958597061787
19;AI FP Equity;Merton;5;0.14501647302903412
20;AI FP Equity;Merton;10;0.14699055252875937
21;AI FP Equity;Necula;1;0.14315965817021162
22;AI FP Equity;Necula;5;0.14324356396227586
23;AI FP Equity;Necula;10;0.1444816363821797
24;AI FP Equity;Rostek;1;0.14315965817012366
25;AI FP Equity;Rostek;5;0.1432460951198521
26;AI FP Equity;Rostek;10;0.14452067061195645
27;CRH LN Equity;Merton;1;0.07285325980378955
28;CRH LN Equity;Merton;5;0.08518471079648997
29;CRH LN Equity;Merton;10;0.1007174769288405
30;CRH LN Equity;Necula;1;0.06834762296117784
31;CRH LN Equity;Necula;5;0.07221335428321835
32;CRH LN Equity;Necula;10;0.08094609704791517
33;CRH LN Equity;Rostek;1;0.06834796568243026
34;CRH LN Equity;Rostek;5;0.07196929998815894
35;CRH LN Equity;Rostek;10;0.0802302271780629
36;SRG IM Equity;Merton;1;-0.008356016456711392
37;SRG IM Equity;Merton;5;-0.0024625897991441756
38;SRG IM Equity;Merton;10;0.003262802200832516
39;SRG IM Equity;Necula;1;-0.018108265919165124
40;SRG IM Equity;Necula;5;-0.018052258701426325
41;SRG IM Equity;Necula;10;-0.017887057492543587
42;SRG IM Equity;Rostek;1;-0.01810827685286937
43;SRG IM Equity;Rostek;5;-0.018138769637092322
44;SRG IM Equity;Rostek;10;-0.018300797428334566
45;DAI GY Equity;Merton;1;-0.016393514704510892
46;DAI GY Equity;Merton;5;-0.003878062063458726
47;DAI GY Equity;Merton;10;0.0103154262649786
48;DAI GY Equity;Necula;1;-0.01571184251703162
49;DAI GY Equity;Necula;5;-0.014219183703047311
50;DAI GY Equity;Necula;10;0.003849463850149684
51;DAI GY Equity;Rostek;1;-0.015618942539670683
52;DAI GY Equity;Rostek;5;-0.01149683873047723
53;DAI GY Equity;Rostek;10;0.007780996655506543
54;VIE FP Equity;Merton;1;-0.07911568611554752
55;VIE FP Equity;Merton;5;-0.0802920649335629
56;VIE FP Equity;Merton;10;-0.08815008368327881
57;VIE FP Equity;Necula;1;-0.06652069141647478
58;VIE FP Equity;Necula;5;-0.084653130009855
59;VIE FP Equity;Necula;10;-0.09390087445636122
60;VIE FP Equity;Rostek;1;-0.0656277476177019
61;VIE FP Equity;Rostek;5;-0.07766908583153773
62;VIE FP Equity;Rostek;10;-0.08561661970359982
63;AMP IM Equity;Merton;1;0.39453504042012727
64;AMP IM Equity;Merton;5;0.40299512239344404
