;Ticker;Model;Maturity;Sigma
0;SAP GY Equity;Merton;1;0.16266204774560433
1;SAP GY Equity;Merton;5;0.16266204975029308
2;SAP GY Equity;Merton;10;0.16266429328139595
3;SAP GY Equity;Necula;1;0.12452772550894316
4;SAP GY Equity;Necula;5;0.1245277255089428
5;SAP GY Equity;Necula;10;0.1245277255293207
6;SAP GY Equity;Rostek;1;0.12452772550894284
7;SAP GY Equity;Rostek;5;0.12452772550894338
8;SAP GY Equity;Rostek;10;0.12452772553493938
9;MRK GY Equity;Merton;1;0.13685242271023634
10;MRK GY Equity;Merton;5;0.1368552382383532
11;MRK GY Equity;Merton;10;0.13700778386488482
12;MRK GY Equity;Necula;1;0.07656304316125812
13;MRK GY Equity;Necula;5;0.0765630431612582
14;MRK GY Equity;Necula;10;0.0765630431613141
15;MRK GY Equity;Rostek;1;0.07656304316125837
16;MRK GY Equity;Rostek;5;0.07656304316125845
17;MRK GY Equity;Rostek;10;0.07656304316133093
18;AI FP Equity;Merton;1;0.11941387335458335
19;AI FP Equity;Merton;5;0.11941389498982032
20;AI FP Equity;Merton;10;0.11942289024805576
21;AI FP Equity;Necula;1;0.09453636366413307
22;AI FP Equity;Necula;5;0.09453636366413475
23;AI FP Equity;Necula;10;0.09453636469655251
24;AI FP Equity;Rostek;1;0.09453636366413322
25;AI FP Equity;Rostek;5;0.09453636366413597
26;AI FP Equity;Rostek;10;0.09453636485887969
27;CRH LN Equity;Merton;1;0.13781174392672207
28;CRH LN Equity;Merton;5;0.13783537392006792
29;CRH LN Equity;Merton;10;0.1383422838712091
30;CRH LN Equity;Necula;1;0.1230817066749926
31;CRH LN Equity;Necula;5;0.12308248443308725
32;CRH LN Equity;Necula;10;0.12316603284301655
33;CRH LN Equity;Rostek;1;0.12308170667499305
34;CRH LN Equity;Rostek;5;0.12308261012119998
35;CRH LN Equity;Rostek;10;0.12316985574306379
36;SRG IM Equity;Merton;1;0.09446784761333255
37;SRG IM Equity;Merton;5;0.09461680954661401
38;SRG IM Equity;Merton;10;0.09600204896921075
39;SRG IM Equity;Necula;1;0.06650671240602575
40;SRG IM Equity;Necula;5;0.06650672438091215
41;SRG IM Equity;Necula;10;0.06651162754825081
42;SRG IM Equity;Rostek;1;0.06650671240602604
43;SRG IM Equity;Rostek;5;0.06650673115339273
44;SRG IM Equity;Rostek;10;0.06651211098761846
45;DAI GY Equity;Merton;1;0.055863629618157294
46;DAI GY Equity;Merton;5;0.05604473891599451
47;DAI GY Equity;Merton;10;0.05735612250734049
48;DAI GY Equity;Necula;1;0.05157722946087496
49;DAI GY Equity;Necula;5;0.05160057877806921
50;DAI GY Equity;Necula;10;0.05197628296593384
51;DAI GY Equity;Rostek;1;0.05157722946172293
52;DAI GY Equity;Rostek;5;0.05160253503003385
53;DAI GY Equity;Rostek;10;0.05198519304924047
54;VIE FP Equity;Merton;1;0.06798020048546517
55;VIE FP Equity;Merton;5;0.06802512244252348
56;VIE FP Equity;Merton;10;0.06864902506411007
57;VIE FP Equity;Necula;1;0.04923938902137077
58;VIE FP Equity;Necula;5;0.049239392145417324
59;VIE FP Equity;Necula;10;0.049241506391712285
60;VIE FP Equity;Rostek;1;0.04923938902137159
61;VIE FP Equity;Rostek;5;0.04923939532736821
62;VIE FP Equity;Rostek;10;0.04924191242283859
63;AMP IM Equity;Merton;1;0.1825004088688201
64;AMP IM Equity;Merton;5;0.18269428443434085
65;AMP IM Equity;Merton;10;0.1842867501087112
66;AMP IM Equity;Necula;1;0.1801773090110649
67;AMP IM Equity;Necula;5;0.18024255799182345
68;AMP IM Equity;Necula;10;0.18128119876522605
69;AMP IM Equity;Rostek;1;0.18017730901124593
70;AMP IM Equity;Rostek;5;0.1802444440135174
71;AMP IM Equity;Rostek;10;0.18129322419485872
